Team,OPGS MP,OPGS FG,OPGS FGA,OPGS FG%,OPGS 3P,OPGS 3PA,OPGS 3P%,OPGS 2P,OPGS 2PA,OPGS 2P%,OPGS FT,OPGS FTA,OPGS FT%,OPGS ORB,OPGS DRB,OPGS TRB,OPGS AST,OPGS STL,OPGS BLK,OPGS TOV,OPGS PF,OPGS PTS
Cleveland Cavaliers,242.4,39,83.5,0.468,11.3,30.6,0.368,27.8,52.9,0.525,17.5,22.4,0.782,9.8,31.5,41.2,23,7,4.4,15.7,20.4,106.9
Miami Heat,241.5,40.1,83.2,0.482,13.1,35.8,0.367,27,47.4,0.569,16.5,21.1,0.781,8.9,33,41.8,25.6,7,3.8,15.7,20,109.8
Philadelphia 76ers,242.4,40.4,85.4,0.473,11.6,33.4,0.348,28.8,52.1,0.553,18.5,23.7,0.781,9.5,31.6,41.2,24.2,6.6,4.6,14.3,19.6,110.9
Boston Celtics,243.7,41.8,90.2,0.463,11.6,33.7,0.345,30.1,56.5,0.534,16.2,21.1,0.769,9.7,34.3,44,23.1,6.6,3.9,12.7,19.1,111.4
Toronto Raptors,241.5,40.4,82.3,0.491,12.2,32.6,0.374,28.2,49.7,0.567,18.4,23.1,0.797,9.2,33,42.3,26.2,6,4.6,16.7,19.6,111.4
Phoenix Suns,241.2,40,85.9,0.466,11.4,32,0.357,28.6,53.9,0.53,20.1,25.6,0.786,10.2,32.6,42.9,23.4,7.2,4,14.4,19.9,111.6
Chicago Bulls,242.7,40.7,87.1,0.468,13.2,37.1,0.357,27.5,50,0.55,17.1,22,0.779,9.6,33.7,43.3,26,6.7,4.7,15,18.7,111.8
Denver Nuggets,240.9,41.7,87.4,0.478,11.4,33.1,0.344,30.4,54.3,0.559,17.6,22.7,0.775,10.1,30.7,40.8,25.7,7.9,4.2,13.5,19.5,112.5
Brooklyn Nets,240.6,41,88.5,0.463,11.8,32.2,0.367,29.2,56.3,0.518,18.7,24.4,0.767,11.5,33.6,45.1,23.4,7,3.9,13.7,18.5,112.5
New Orleans Pelicans,242.1,40.9,86.6,0.472,12.2,36,0.339,28.7,50.6,0.567,18.4,23.6,0.779,9.7,32.1,41.8,24.9,7.3,4.7,15,20.4,112.5
Memphis Grizzlies,241.2,40.7,89.8,0.453,13,36.6,0.355,27.7,53.3,0.521,18.5,23.5,0.787,11,33.4,44.4,26.4,6.8,5.2,15.1,20,113
New York Knicks,243.4,40.8,88.2,0.462,13,36.5,0.357,27.7,51.7,0.537,18.5,23.7,0.782,10.1,31.9,42,25.1,6,4.5,12.7,20.7,113.1
Los Angeles Clippers,241.8,41.8,88.3,0.474,12.2,33.4,0.365,29.6,54.9,0.539,17.2,22.3,0.771,10.2,32.9,43.1,25,7.8,4.2,13,19.6,113.1
Milwaukee Bucks,241.8,42.5,93.2,0.456,12.1,34.1,0.354,30.4,59.1,0.514,16.3,21,0.776,10.7,33.5,44.2,23.9,7,3.9,11.8,19,113.3
Orlando Magic,241.2,41.3,86.9,0.476,13,37,0.351,28.4,50,0.567,18.3,23,0.796,9.5,32.5,42,25.9,7.7,5.1,14.7,20.5,114
Dallas Mavericks,243,41.8,86.2,0.485,11.1,31.7,0.352,30.6,54.5,0.562,19.5,25,0.781,10.1,34.6,44.7,24.9,6.4,3.8,13.1,21.8,114.1
Washington Wizards,240.9,42.5,89.8,0.473,12,32.8,0.366,30.5,57,0.534,17.5,21.9,0.798,10.8,32.3,43,24.8,7.1,5,12.3,19.4,114.4
Minnesota Timberwolves,241.8,41.8,88.7,0.471,12.3,33.3,0.369,29.5,55.5,0.532,19.9,26,0.766,11.3,33.3,44.7,25,8.2,4.1,15.4,20.2,115.8
Oklahoma City Thunder,242.1,41.9,88.4,0.474,12.9,36,0.358,29,52.4,0.553,19.6,25.5,0.771,12,34.6,46.6,25.9,7,5.5,16.8,20.4,116.4
Los Angeles Lakers,242.4,44,93.9,0.469,12.5,36.5,0.344,31.5,57.4,0.548,16.1,20.8,0.773,11.1,33.8,44.9,25.7,7.6,5.1,12.6,21.5,116.6
Golden State Warriors,241.8,42.4,90.5,0.469,12.9,35.5,0.364,29.5,55,0.536,19.4,25.2,0.769,10.7,32.6,43.3,25.7,7.9,4,14.3,18.4,117.1
Charlotte Hornets,241.8,43,90.1,0.477,12.2,34.3,0.357,30.7,55.8,0.55,19,24,0.795,10.9,35.3,46.2,25.9,7,5.7,14.4,20.3,117.2
Portland Trail Blazers,240.6,43,87.5,0.491,12.5,33.1,0.379,30.4,54.4,0.559,19,24.1,0.787,10.5,32.8,43.2,27,7.8,4.3,13.5,20.5,117.4
Utah Jazz,241.5,43.4,91.6,0.473,12.5,34.5,0.361,30.9,57.1,0.54,18.8,24.3,0.776,11.2,32.2,43.5,25,7.8,4.9,12.6,20.5,118
Sacramento Kings,241.8,43.8,88.9,0.492,12.5,33.4,0.373,31.3,55.5,0.564,18.1,23,0.787,9.7,32.5,42.2,26.7,7.3,4.2,14.2,20.9,118.1
Atlanta Hawks,242.1,43.8,90.2,0.486,11.9,33.5,0.356,31.9,56.7,0.562,18.6,23.2,0.803,10.6,33.5,44.1,26,7.5,5,14.2,19.7,118.1
Detroit Pistons,241.5,43.1,88.1,0.489,12,33.3,0.36,31.1,54.8,0.568,20.4,26.2,0.777,11,33.7,44.7,25.8,7.7,5.5,13.5,21,118.5
Houston Rockets,240.9,42.4,88.1,0.482,14.5,38.8,0.374,27.9,49.3,0.567,19.2,24.2,0.794,10.5,31,41.5,26.1,8.8,6.2,13.2,20.6,118.6
Indiana Pacers,240.9,43.3,89.3,0.485,12.4,33.3,0.373,30.9,56,0.551,20.5,25.6,0.8,12.1,33.2,45.3,26.4,7.9,5.3,15.1,20.2,119.5
San Antonio Spurs,242.1,46.1,91,0.507,12.6,32.3,0.391,33.5,58.6,0.571,18.2,23.7,0.77,10.7,34.3,45,26.8,8.1,5.3,13.8,18.5,123.1
League Average,241.8,42,88.3,0.475,12.3,34.2,0.361,29.6,54.1,0.548,18.4,23.5,0.782,10.4,33,43.4,25.3,7.3,4.7,14.1,20,114.7
